vigtext,category,vigfile,moral_decision,arousal,,,,,,,,,,,,,
You see a man forbidding his wife to wear clothing that he has not first approved.,Liberty,lib07,4.1,3.5,,,,,,,,,,,,,
You see a man telling his fiance that she has to switch to his political party.,Liberty,lib01,3.9,3.3,,,,,,,,,,,,,
You see a man telling his girlfriend that she must convert to his religion.,Liberty,lib05,3.5,2.9,,,,,,,,,,,,,
You see a manager coercing her employees into eating at her brother's diner.,Liberty,lib04,3.2,2.6,,,,,,,,,,,,,
You see a mayor trying to ban people from hugging and kissing in public in his city.,Liberty,lib15,4.2,3.6,,,,,,,,,,,,,
You see a mother forcing her daughter to enroll as a pre-med student in college.,Liberty,lib11,3.3,3.1,,,,,,,,,,,,,
You see a mother telling her son that she is going to choose all of his friends.,Liberty,lib06,3.2,3.2,,,,,,,,,,,,,
You see a pastor banning his congregants from wearing bright colors in the church.,Liberty,,3.6,3.1,,,,,,,,,,,,,
You see a public leader on TV trying to ban the wearing of hooded sweatshirts.,Liberty,lib10,3.7,3.2,,,,,,,,,,,,,
You see a teacher ordering a student to get a normal haircut before coming to class.,Liberty,lib13,3.8,3.0,,,,,,,,,,,,,
You see a teenager at a cafeteria forcing a younger student to pay for her lunch.,Liberty,lib14,4.0,3.5,,,,,,,,,,,,,
You see a woman pressuring her daughter to become a famous evening news anchor.,Liberty,lib09,2.5,2.6,,,,,,,,,,,,,
You see a coach celebrating with the opposing team's players who just won the game.,Loyalty,loy02,2.8,2.5,,,,,,,,,,,,,
You see a college president singing a rival school's fight song during a pep rally.,Loyalty,loy11,2.7,2.1,,,,,,,,,,,,,
You see a former Secretary of State publicly giving up his citizenship to the US.,Loyalty,loy14,3.1,2.7,,,,,,,,,,,,,
You see a former US General saying publicly he would never buy any American product.,Loyalty,loy03,3.5,3.1,,,,,,,,,,,,,
You see a head cheerleader booing her high school's team during a homecoming game.,Loyalty,loy08,3.3,2.3,,,,,,,,,,,,,
You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.,Loyalty,loy10,3.2,2.7,,,,,,,,,,,,,
You see a man leaving his family business to go work for their main competitor.,Loyalty,loy06,2.7,2.6,,,,,,,,,,,,,
You see a man secretly voting against his wife in a local beauty pageant.,Loyalty,,2.9,2.7,,,,,,,,,,,,,
You see a mayor saying that the neighboring town is a much better town.,Loyalty,loy04,2.6,2.5,,,,,,,,,,,,,
You see a teacher publicly saying she hopes another school wins the math contest.,Loyalty,loy07,2.9,2.7,,,,,,,,,,,,,
You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.,Loyalty,loy15,2.8,2.6,,,,,,,,,,,,,
You see an American telling foreigners that the US is an evil force in the world.,Loyalty,loy12,3.7,3.4,,,,,,,,,,,,,
You see an employee joking with competitors about how bad his company did last year.,Loyalty,loy01,3.0,2.1,,,,,,,,,,,,,
You see the class president saying on TV that her rival college is a better school.,Loyalty,loy09,2.4,1.9,,,,,,,,,,,,,
You see the coach's wife sponsoring a bake sale for her husband's rival team.,Loyalty,loy13,2.5,2.0,,,,,,,,,,,,,
You see the US Ambassador joking in Great Britain about the stupidity of Americans.,Loyalty,loy05,3.8,3.4,,,,,,,,,,,,,
You see a college student drinking until she vomits on herself and falls asleep.,Purity,pur15,3.3,3.0,,,,,,,,,,,,,
You see a drunk elderly man offering to have oral sex with anyone in the bar.,Purity,pur03,4.4,3.1,,,,,,,,,,,,,
You see a family eating the carcass of their pet dog that had been run over.,Purity,pur02,4.2,4.2,,,,,,,,,,,,,
You see a girl and her sister making out with each other just for practice.,Purity,pur10,3.8,3.5,,,,,,,,,,,,,
You see a homosexual in a gay bar offering sex to anyone who buys him a drink.,Purity,pur08,3.6,2.7,,,,,,,,,,,,,
You see a man having sex with a frozen chicken before cooking it for dinner.,Purity,pur01,4.0,3.5,,,,,,,,,,,,,
You see a man in a bar using his phone to watch people having sex with animals.,Purity,pur05,4.3,3.7,,,,,,,,,,,,,
You see a man searching through the trash to find women's discarded underwear.,Purity,pur12,4.0,3.7,,,,,,,,,,,,,
You see a single man ordering an inflatable sex doll that looks like his secretary.,Purity,,2.5,2.4,,,,,,,,,,,,,
You see a story about a remote tribe eating the flesh of their deceased members.,Purity,pur11,3.3,3.3,,,,,,,,,,,,,
You see a teenage male in a dorm bathroom secretly using a stranger's toothbrush.,Purity,pur06,3.6,2.8,,,,,,,,,,,,,
You see a teenager urinating in the wave pool at a crowded amusement park.,Purity,pur04,4.4,3.6,,,,,,,,,,,,,
You see a very drunk woman making out with multiple strangers on the city bus.,Purity,pur14,4.0,3.4,,,,,,,,,,,,,
You see a woman burping and farting loudly while eating at a fast food truck.,Purity,,3.1,2.9,,,,,,,,,,,,,
You see a woman having intimate relations with a recently deceased loved one.,Purity,pur07,4.3,3.8,,,,,,,,,,,,,
You see an employee at a morgue eating his pepperoni pizza off of a dead body.,Purity,pur09,4.2,3.6,,,,,,,,,,,,,
You see two first cousins getting married to each other in an elaborate wedding.,Purity,pur13,3.7,3.4,,,,,,,,,,,,,
You see a man eating a bowl of cereal in the morning with water instead of milk.,Social Norms,socnorm07,1.1,1.4,,,,,,,,,,,,,
You see a man putting ketchup all over his chicken Caesar salad while at lunch.,Social Norms,socnorm09,1.2,1.5,,,,,,,,,,,,,
You see a man staying inside his home with the shades drawn on a rare sunny day.,Social Norms,socnorm02,1.1,1.3,,,,,,,,,,,,,
You see a man walking down a dark hallway while still wearing his sunglasses.,Social Norms,socnorm10,1.2,1.7,,,,,,,,,,,,,
You see a man wearing clothes that are clearly several sizes too big for his body.,Social Norms,,1.3,1.6,,,,,,,,,,,,,
You see a teenage girl wearing a long trench coat on a hot summer afternoon.,Social Norms,socnorm14,1.2,1.4,,,,,,,,,,,,,
"You see a woman answering a phone call with the word ""goodbye"" instead of ""hello.""",Social Norms,socnorm15,1.5,1.5,,,,,,,,,,,,,
You see a woman continuing to wear a large sun hat inside her apartment complex.,Social Norms,socnorm05,1.2,1.6,,,,,,,,,,,,,
You see a woman drinking her entire cup of coffee using a stirring spoon.,Social Norms,socnorm03,1.2,1.2,,,,,,,,,,,,,
You see a woman eating dessert before her main entree arrives on the table.,Social Norms,socnorm04,1.2,1.7,,,,,,,,,,,,,
You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.,Social Norms,socnorm08,1.1,1.5,,,,,,,,,,,,,
You see a woman watching a game on television in black-and-white instead of color.,Social Norms,socnorm12,1.1,2.0,,,,,,,,,,,,,
You see someone at the school gym lifting free weights in nice business clothes.,Social Norms,socnorm06,1.2,1.4,,,,,,,,,,,,,
You see someone driving around in a dirty car that has not been washed recently.,Social Norms,socnorm11,1.2,1.4,,,,,,,,,,,,,
You see someone reading the ending of a spy novel before reading the beginning.,Social Norms,socnorm13,1.2,1.6,,,,,,,,,,,,,
You see someone using an old rotary phone and refusing to go buy a new one.,Social Norms,socnorm01,1.0,1.4,,,,,,,,,,,,,
